,下摆围,中腰围,前胸宽,前衣长,右袖口,右袖长,后中长,后背宽,小臂围,左袖口,左袖长,肚围,肚高,肩宽,胸围,袖肥,领围
0,90.0,90.0,0.0,40.0,0.0,41.0,100.0,0.0,0.0,41.0,40.0,0.0,0.0,25.0,90.0,90.0,33.0
1,95.0,87.0,0.0,76.5,0.0,0.0,74.5,0.0,0.0,25.0,63.0,0.0,0.0,43.0,100.0,37.0,40.5
2,96.0,87.0,0.0,73.5,0.0,0.0,71.0,0.0,0.0,23.5,58.5,0.0,0.0,42.0,98.0,36.0,40.0
3,90.0,90.0,0.0,40.0,0.0,41.0,100.0,0.0,0.0,41.0,40.0,0.0,0.0,25.0,90.0,90.0,33.0
4,103.0,84.0,0.0,73.0,0.0,0.0,73.0,0.0,0.0,25.0,59.2,0.0,0.0,46.6,103.2,31.6,40.0
5,104.0,96.0,0.0,76.0,24.0,61.0,74.0,0.0,0.0,24.0,61.0,97.0,0.0,45.0,104.0,40.0,43.0
6,106.0,98.0,0.0,74.5,24.0,57.5,74.5,0.0,0.0,24.0,57.5,0.0,0.0,45.0,106.0,40.0,41.0
7,118.0,110.0,0.0,80.0,24.0,59.0,78.0,0.0,0.0,24.0,59.0,0.0,0.0,49.0,118.0,44.0,43.0
8,102.0,93.0,0.0,74.5,0.0,61.5,72.5,0.0,0.0,25.5,63.0,0.0,0.0,44.0,106.0,38.0,43.0
9,103.0,94.0,0.0,73.0,21.0,61.0,71.0,0.0,0.0,21.0,61.0,0.0,0.0,43.5,103.5,38.0,41.0
10,109.0,98.0,0.0,78.0,0.0,67.5,76.0,0.0,0.0,25.5,66.0,0.0,0.0,48.0,112.0,40.0,43.0
11,114.0,106.0,0.0,74.0,23.0,55.0,74.0,0.0,0.0,23.0,55.0,0.0,0.0,46.5,114.0,42.0,42.0
12,102.0,98.0,39.0,72.0,25.0,60.0,72.5,40.5,0.0,25.0,60.0,98.0,0.0,43.5,103.0,37.0,40.0
13,110.0,106.0,0.0,0.0,26.0,60.0,75.0,0.0,0.0,26.0,60.0,1.0,1.0,47.5,114.0,43.0,42.5
14,108.0,102.0,0.0,0.0,26.0,61.0,77.0,0.0,0.0,26.0,61.0,1.0,1.0,47.0,112.0,44.0,42.5
15,104.0,98.0,0.0,75.0,24.0,60.0,1.0,0.0,0.0,24.0,60.0,1.0,1.0,45.5,106.0,40.0,40.0
16,118.0,116.0,0.0,0.0,25.5,62.0,81.0,0.0,0.0,25.5,62.0,1.0,1.0,50.0,124.0,49.0,45.0
17,111.0,104.0,0.0,76.0,24.5,60.5,74.0,0.0,0.0,24.5,60.5,110.0,0.0,46.0,110.0,39.0,42.0
18,115.0,115.0,0.0,77.0,24.0,60.5,76.0,0.0,0.0,24.0,60.5,117.0,47.0,49.4,120.0,44.0,43.0
19,104.0,99.0,0.0,0.0,24.0,59.5,73.0,0.0,0.0,24.0,59.5,0.0,0.0,43.0,104.0,39.0,39.0
20,96.0,84.0,0.0,74.0,23.0,59.0,72.0,0.0,0.0,23.0,59.0,0.0,0.0,42.0,97.0,35.0,40.5
21,96.0,84.0,0.0,74.0,23.0,59.0,72.0,0.0,0.0,23.0,59.0,0.0,0.0,42.0,97.0,35.0,40.5
22,121.0,104.0,45.0,79.5,25.5,64.5,77.5,43.5,0.0,25.5,64.5,209.0,0.0,51.0,117.0,43.0,44.5
23,114.0,106.0,0.0,0.0,25.5,65.0,78.0,0.0,0.0,25.5,65.0,0.0,0.0,48.2,114.0,42.0,42.0
24,103.5,88.0,40.5,74.0,27.0,65.0,70.0,40.5,0.0,27.0,65.0,0.0,0.0,51.0,96.0,35.0,52.0
25,114.0,106.0,0.0,0.0,25.5,65.0,78.0,0.0,0.0,25.5,65.0,0.0,0.0,48.2,114.0,42.0,42.0
26,109.5,90.0,40.5,78.0,20.0,63.0,72.0,42.5,0.0,20.0,63.0,0.0,0.0,50.0,111.5,40.0,42.0
27,109.5,90.0,40.5,78.0,20.0,63.0,72.0,42.5,0.0,20.0,63.0,0.0,0.0,50.0,111.5,40.0,42.0
28,122.5,101.5,40.5,78.0,25.5,64.5,75.0,38.5,0.0,25.5,64.5,209.0,0.0,49.5,108.5,40.0,43.0
29,106.0,98.0,40.0,71.0,23.5,60.0,68.0,40.5,0.0,23.5,60.0,198.0,0.0,47.5,110.5,40.0,44.0
30,106.0,98.0,40.0,71.0,23.5,60.0,68.0,40.5,0.0,23.5,60.0,198.0,0.0,47.5,110.5,40.0,44.0
31,106.0,98.0,40.0,71.0,23.5,60.0,68.0,40.5,0.0,23.5,60.0,198.0,0.0,47.5,110.5,40.0,44.0
32,106.0,98.0,40.0,71.0,23.5,60.0,68.0,40.5,0.0,23.5,60.0,198.0,0.0,47.5,110.5,40.0,44.0
33,102.0,85.5,40.5,67.5,23.5,56.0,65.5,36.5,0.0,23.5,56.0,0.0,0.0,43.5,103.5,38.0,39.5
34,126.0,118.0,0.0,77.0,26.0,59.0,77.0,0.0,0.0,26.0,59.0,123.0,0.0,51.8,126.0,47.0,46.0
35,100.0,88.3,0.0,75.0,21.8,65.0,75.0,0.0,0.0,23.0,65.0,0.0,0.0,13.0,98.2,32.0,37.5
36,108.0,99.0,0.0,76.5,24.0,59.0,74.0,-1.0,0.0,24.0,59.0,0.0,0.0,46.0,108.0,19.5,40.5
37,114.0,106.0,0.0,0.0,25.5,0.0,78.0,0.0,0.0,25.5,62.0,0.0,0.0,48.2,114.0,42.0,42.0
38,110.0,102.0,0.0,0.0,24.5,57.0,76.0,0.0,0.0,24.5,57.0,0.0,0.0,47.0,110.0,42.0,41.0
39,104.0,92.0,0.0,76.0,24.0,60.5,74.0,0.0,0.0,24.0,60.5,0.0,0.0,45.0,104.0,40.0,41.0
40,106.0,94.0,0.0,76.0,24.0,61.5,74.0,0.0,0.0,24.0,61.5,0.0,0.0,45.2,106.0,40.6,42.0
41,110.0,106.0,0.0,80.0,22.0,62.5,78.0,0.0,0.0,22.0,62.5,0.0,0.0,47.5,114.0,41.0,42.0
42,110.0,106.0,0.0,80.0,22.0,62.5,78.0,0.0,0.0,22.0,62.5,0.0,0.0,47.5,114.0,41.0,42.0
43,110.0,106.0,0.0,80.0,22.0,62.5,78.0,0.0,0.0,22.0,62.5,0.0,0.0,47.5,114.0,41.0,42.0
44,103.0,92.0,0.0,75.0,23.0,63.0,72.0,0.0,0.0,23.0,63.0,0.0,0.0,45.5,106.0,38.0,42.0
45,106.0,96.0,0.0,74.5,24.0,57.5,73.0,-1.0,0.0,24.0,57.5,0.0,0.0,45.0,103.0,19.0,39.0
46,90.0,90.0,0.0,40.0,0.0,41.0,100.0,0.0,0.0,41.0,40.0,0.0,0.0,25.0,90.0,90.0,33.0
47,,,0.0,76.5,0.0,0.0,,0.0,0.0,25.0,65.0,0.0,0.0,43.0,102.0,37.0,40.5
48,106.0,98.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,24.5,64.5,0.0,0.0,45.8,106.0,40.0,40.0
49,106.0,98.0,0.0,72.0,0.0,0.0,72.0,0.0,0.0,24.5,56.5,0.0,0.0,43.8,106.0,41.0,41.0
50,110.0,100.0,0.0,0.0,24.0,60.0,74.0,0.0,0.0,24.0,60.0,1.0,0.0,48.0,112.0,42.0,41.0
51,94.0,83.0,35.0,74.0,0.0,0.0,72.0,38.0,0.0,24.5,61.5,0.0,0.0,42.0,97.0,35.0,38.0
52,102.0,93.0,0.0,74.5,0.0,61.5,72.5,0.0,0.0,25.5,63.0,0.0,0.0,44.0,106.0,38.0,43.0
53,102.0,93.0,0.0,74.5,0.0,61.5,72.5,0.0,0.0,25.5,63.0,0.0,0.0,44.0,106.0,38.0,43.0
54,102.0,93.0,0.0,74.5,0.0,61.5,72.5,0.0,0.0,25.5,63.0,0.0,0.0,44.0,106.0,38.0,43.0
55,102.0,96.0,0.0,0.0,0.0,60.0,72.5,0.0,0.0,25.0,60.0,0.0,0.0,0.0,104.0,39.0,42.0
56,102.0,96.0,0.0,0.0,0.0,60.0,72.5,0.0,0.0,25.0,60.0,0.0,0.0,0.0,104.0,39.0,42.0
57,102.0,96.0,0.0,0.0,0.0,60.0,72.5,0.0,0.0,25.0,60.0,0.0,0.0,0.0,104.0,39.0,42.0
58,117.5,109.0,45.0,73.0,25.5,61.0,68.0,44.0,0.0,25.5,61.0,214.0,0.0,50.5,118.5,43.0,45.0
59,101.0,96.0,0.0,73.0,0.0,62.0,70.0,0.0,0.0,24.0,62.0,92.0,0.0,44.0,104.0,40.0,42.0
60,101.0,96.0,0.0,73.0,0.0,62.0,70.0,0.0,0.0,24.0,62.0,92.0,0.0,44.0,104.0,40.0,42.0
61,110.0,102.0,0.0,0.0,24.5,58.5,74.0,0.0,0.0,24.5,58.5,0.0,0.0,47.0,110.0,42.0,41.0
62,113.0,105.0,0.0,0.0,26.0,67.0,80.0,0.0,0.0,26.0,67.0,0.0,0.0,48.0,115.0,42.0,43.0
63,108.0,101.0,0.0,78.0,24.5,63.5,76.0,0.0,0.0,24.5,63.5,0.0,0.0,46.4,109.0,39.6,41.5
64,106.0,97.0,0.0,0.0,25.0,60.5,75.0,0.0,0.0,25.0,60.5,0.0,0.0,45.0,108.0,40.0,42.0
65,116.0,100.0,0.0,0.0,26.0,63.0,80.0,0.0,0.0,26.0,63.0,0.0,0.0,48.0,114.0,42.0,42.0
66,113.0,105.0,0.0,71.5,23.5,57.0,71.5,0.0,0.0,23.5,57.0,0.0,0.0,46.5,114.0,43.5,44.5
67,113.0,105.0,0.0,71.5,23.5,57.0,71.5,0.0,0.0,23.5,57.0,0.0,0.0,46.5,114.0,43.5,44.5
68,98.0,86.0,37.0,69.0,23.0,57.0,67.0,42.0,0.0,23.0,57.0,0.0,0.0,41.5,99.5,37.0,38.0
69,113.0,105.0,0.0,71.5,23.5,57.0,71.5,0.0,0.0,23.5,57.0,0.0,0.0,46.5,114.0,43.5,44.5
70,113.0,105.0,0.0,71.5,23.5,57.0,71.5,0.0,0.0,23.5,57.0,0.0,0.0,46.5,114.0,43.5,44.5
71,120.0,118.0,0.0,0.0,26.0,62.0,79.0,0.0,0.0,26.0,62.0,0.0,0.0,49.0,122.0,47.0,46.0
72,112.0,105.0,0.0,75.0,23.5,63.0,75.0,0.0,0.0,23.5,63.0,0.0,98.0,46.0,114.0,40.5,43.0
73,112.0,105.0,0.0,75.0,23.5,63.0,75.0,0.0,0.0,23.5,63.0,0.0,98.0,46.0,114.0,40.5,43.0
74,112.0,105.0,0.0,75.0,23.5,63.0,75.0,0.0,0.0,23.5,63.0,0.0,98.0,46.0,114.0,40.5,43.0
75,112.0,105.0,0.0,75.0,23.5,63.0,75.0,0.0,0.0,23.5,63.0,0.0,98.0,46.0,114.0,40.5,43.0
76,113.0,106.0,0.0,0.0,26.0,62.5,76.0,0.0,0.0,26.0,62.5,0.0,0.0,47.0,115.0,42.0,43.0
77,98.0,90.0,0.0,0.0,23.0,58.0,74.0,0.0,0.0,23.0,58.0,0.0,0.0,41.0,95.0,37.0,38.0
78,98.0,89.0,0.0,0.0,23.0,59.0,72.0,0.0,0.0,23.0,59.0,0.0,0.0,43.0,99.0,37.0,39.0
79,113.0,104.0,0.0,0.0,25.0,62.0,75.0,0.0,0.0,25.0,62.0,0.0,0.0,47.0,114.0,42.0,43.0
80,108.0,101.0,0.0,78.0,24.5,63.5,76.0,0.0,0.0,24.5,63.5,0.0,0.0,46.4,109.0,39.6,41.5
81,105.0,93.0,38.0,78.0,24.5,61.5,75.0,41.5,0.0,24.5,61.5,0.0,0.0,45.5,109.0,40.0,39.5
82,105.0,97.0,0.0,0.0,25.0,63.0,70.0,0.0,0.0,25.0,63.0,0.0,0.0,45.0,107.0,40.0,41.0
83,105.0,97.0,0.0,0.0,25.0,63.0,70.0,0.0,0.0,25.0,63.0,0.0,0.0,45.0,107.0,40.0,41.0
84,106.0,99.0,0.0,72.0,25.0,58.0,74.0,0.0,0.0,25.0,58.0,0.0,0.0,46.0,108.0,40.0,41.0
85,105.0,97.0,0.0,0.0,25.0,63.0,70.0,0.0,0.0,25.0,63.0,0.0,0.0,45.0,107.0,40.0,41.0
86,105.0,97.0,0.0,0.0,25.0,63.0,70.0,0.0,0.0,25.0,63.0,0.0,0.0,45.0,107.0,40.0,41.0
87,112.0,105.0,38.0,79.0,25.0,60.0,75.0,42.0,0.0,25.0,60.0,107.0,0.0,46.0,114.0,40.0,41.0
88,97.0,87.0,0.0,0.0,24.0,60.0,73.0,0.0,0.0,24.0,60.0,0.0,0.0,43.0,99.0,38.0,39.0
89,113.0,103.0,2.0,0.0,25.5,62.0,76.0,0.0,0.0,25.5,62.0,0.0,0.0,45.5,111.0,40.5,43.0
90,113.0,105.0,0.0,0.0,25.0,61.0,76.0,0.0,0.0,25.0,61.0,0.0,0.0,45.0,115.0,42.0,43.0
91,105.0,98.0,0.0,0.0,25.0,61.0,74.0,0.0,0.0,25.0,61.0,0.0,0.0,45.0,105.0,40.0,41.0
92,111.0,104.0,0.0,76.0,20.0,62.5,74.0,0.0,0.0,20.0,62.5,0.0,0.0,45.5,111.0,34.0,42.0
93,121.0,117.0,0.0,77.0,27.0,63.0,78.0,0.0,0.0,27.0,63.0,0.0,0.0,47.0,124.0,43.0,45.5
94,110.0,103.0,0.0,0.0,25.0,63.0,75.0,0.0,0.0,25.0,63.0,0.0,0.0,45.0,106.0,40.0,40.0
95,115.0,107.0,0.0,76.0,24.5,60.0,77.0,0.0,0.0,26.0,60.0,0.0,0.0,47.0,116.0,42.0,44.0
96,109.0,97.0,0.0,74.0,23.0,62.0,74.0,0.0,0.0,23.0,62.0,0.0,0.0,46.0,108.0,43.5,44.5
97,105.0,91.0,0.0,76.0,24.0,63.0,79.0,0.0,0.0,24.0,63.0,0.0,0.0,45.0,104.0,39.0,41.0
98,113.0,105.0,0.0,0.0,26.0,62.0,76.0,0.0,0.0,26.0,62.0,0.0,0.0,47.5,114.0,42.0,43.0
99,105.0,87.0,0.0,78.0,23.0,67.0,78.0,0.0,0.0,23.0,67.0,0.0,0.0,48.0,101.0,40.0,43.0
100,103.0,94.5,0.0,0.0,24.0,58.0,74.0,0.0,0.0,24.0,63.0,0.0,0.0,44.0,105.0,39.0,40.0
101,121.0,115.0,-1.5,0.0,26.0,60.0,74.0,-2.0,0.0,26.0,60.0,0.0,0.0,47.5,120.0,43.0,44.0
102,101.0,93.0,0.0,0.0,23.0,62.0,74.0,-1.0,0.0,23.0,62.0,0.0,0.0,43.0,103.0,39.0,39.0
103,101.0,93.0,0.0,0.0,23.0,62.0,74.0,-1.0,0.0,23.0,62.0,0.0,0.0,43.0,103.0,39.0,39.0
104,101.0,93.0,0.0,0.0,23.0,62.0,74.0,-1.0,0.0,23.0,62.0,0.0,0.0,43.0,103.0,39.0,39.0
